stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,10.609096800093539,11.16156120004598,11.16156120004598,11.178675700095482,11.462666300009005,right,10.0,1,1,46.153684399905615,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
1,2,8.0,11.861029700026847,12.344205100089312,12.344205100089312,12.360976800089702,12.643784000072628,left,-8.0,1,1,46.22512790001929,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
2,2,6.0,13.127181500080042,13.627025300054811,13.627025300054811,13.627025300054811,13.926859800005332,left,-6.0,1,1,46.03644399996847,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
3,2,4.0,14.209738400066271,14.708951800013892,14.708951800013892,14.725407700054348,15.008630400057882,right,4.0,1,1,48.11694360000547,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
4,2,2.0,17.37362990004476,17.872831400018185,17.872831400018185,17.872831400018185,18.172732800012454,right,2.0,1,1,46.10380519996397,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
5,2,1.0,18.522479200037196,19.021814899984747,19.021814899984747,19.021814899984747,19.322059600031935,right,1.0,1,1,46.20091650006361,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
6,2,1.0,19.77143680001609,20.270453500095755,20.270453500095755,20.270453500095755,20.570253200014122,right,1.0,1,1,46.09844670002349,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
7,2,1.0,20.919711000053212,21.419767400017008,21.419767400017008,21.419767400017008,21.71925339999143,left,-1.0,1,1,46.386271800030954,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
8,2,1.0,22.35256890009623,22.85257059999276,22.85257059999276,22.85257059999276,23.168490200070664,left,-1.0,1,1,48.600190500030294,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
9,2,1.0,25.9987501000287,26.498446900048293,26.498446900048293,26.498446900048293,26.798530300031416,right,1.0,1,1,47.28608480002731,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
10,1,1.0,28.33097400004044,28.829905100050382,28.829905100050382,28.829905100050382,29.130302000092342,left,-1.0,0,0,51.53222199995071,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
11,1,2.0,34.908087000017986,35.407165199983865,35.407165199983865,35.407165199983865,35.706961899995804,right,2.0,0,0,46.38759249995928,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
12,1,3.0,36.34037280001212,36.840617800015025,36.840617800015025,36.840617800015025,37.13994320004713,right,3.0,0,0,46.13550540001597,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
13,1,4.0,37.52242340007797,38.02253810002003,38.02253810002003,38.02253810002003,38.338044300093316,right,4.0,0,0,45.95539989997633,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
14,1,5.0,38.54237140004989,39.038445500074886,39.038445500074886,39.055113100097515,39.35380240005907,left,-5.0,0,0,46.08395949995611,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
15,1,6.0,39.67089750000741,40.17060130008031,40.17060130008031,40.17060130008031,40.47032120008953,left,-6.0,0,0,46.132164799957536,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
16,1,7.0,40.85342110006604,41.351937400060706,41.351937400060706,41.351937400060706,41.651701600058004,right,7.0,0,0,45.93792649998795,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
17,1,8.0,41.83498570008669,42.33402060007211,42.33402060007211,42.33402060007211,42.635455200099386,right,8.0,1,1,46.448690999881364,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
18,1,8.0,43.33416660001967,43.83362550009042,43.83362550009042,43.83362550009042,44.1333098000614,left,-8.0,0,0,46.45335269998759,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
19,1,9.0,44.832602499984205,45.332393200020306,45.332393200020306,45.332393200020306,45.6319882000098,right,9.0,0,0,46.236616499954835,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
20,1,10.0,46.11452150007244,46.61401380004827,46.61401380004827,46.61401380004827,46.91377890005242,left,-10.0,0,0,46.91103580000345,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
21,1,11.0,48.080049699987285,48.57898019999266,48.57898019999266,48.57898019999266,48.879724900005385,left,-11.0,0,0,45.93741929996759,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
22,1,12.0,49.06318350008223,49.56194180005696,49.56194180005696,49.57887440000195,49.863215400022455,right,12.0,0,0,46.13774789997842,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
23,1,13.0,50.24478850001469,50.74414910003543,50.74414910003543,50.76106440008152,51.04360169998836,right,13.0,1,1,46.10085359995719,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
24,1,13.0,51.39385900006164,51.89286780008115,51.89286780008115,51.89286780008115,52.1925677000545,right,13.0,1,1,46.95329999993555,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
25,1,13.0,53.39193270006217,53.89151780004613,53.89151780004613,53.89151780004613,54.191452000057325,right,13.0,1,1,45.87031039991416,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
26,1,12.0,54.30804270005319,54.80722890002653,54.80722890002653,54.80722890002653,55.10775870003272,left,-12.0,1,1,45.935262199956924,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
27,1,12.0,55.289327200036496,55.772534999996424,55.772534999996424,55.78964149998501,56.07226270006504,left,-12.0,1,1,46.32062540005427,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
28,1,12.0,56.63912970002275,57.13976350007579,57.13976350007579,57.13976350007579,57.45645230007358,right,12.0,1,1,45.919993499992415,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
29,1,11.0,57.6053380999947,58.10522850009147,58.10522850009147,58.10522850009147,58.40452900005039,left,-11.0,1,1,45.985828100005165,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
30,1,11.0,58.63662080001086,59.13702980009839,59.13702980009839,59.13702980009839,59.43677330005448,right,11.0,1,1,46.016664199880324,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
31,0.5,11.0,59.70314170001075,60.202941499999724,60.202941499999724,60.202941499999724,60.50157800002489,left,-11.0,0,0,46.0532817998901,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
32,0.5,11.5,60.803125100093894,61.30236590001732,61.30236590001732,61.31858240009751,61.60145439999178,left,-11.5,0,0,46.65346559998579,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
33,0.5,12.0,62.500040500075556,63.00010830000974,63.00010830000974,63.00010830000974,63.29987300001085,right,12.0,0,0,46.0422085999744,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
34,0.5,12.5,63.60095870005898,64.09904270002153,64.09904270002153,64.1161005999893,64.3983118000906,left,-12.5,1,1,46.10354169993661,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
35,0.5,12.5,64.74813409999479,65.24810500000603,65.24810500000603,65.24810500000603,65.54760340007488,right,12.5,1,1,46.05393549997825,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
36,0.5,12.5,65.8477207000833,66.34751920006238,66.34751920006238,66.34751920006238,66.64723770006094,left,-12.5,1,1,45.95118700002786,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
37,0.5,12.0,66.84669110004324,67.3460651000496,67.3460651000496,67.3460651000496,67.64621750009246,left,-12.0,1,1,46.59384129999671,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
38,0.5,12.0,68.49554360006005,68.99468290002551,68.99468290002551,69.01071790000424,69.29479369998444,right,12.0,1,1,45.87476529995911,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
39,0.5,12.0,69.42818210006226,69.928035799996,69.928035799996,69.928035799996,70.22821750002913,left,-12.0,1,1,45.903673099935986,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
40,0.5,11.5,70.37803830008488,70.87643320008647,70.87643320008647,70.89314420009032,71.176199400099,right,11.5,1,1,46.12066289992072,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
41,0.5,11.5,71.54210469999816,72.04212370002642,72.04212370002642,72.04212370002642,72.34217200009152,left,-11.5,1,1,45.98778629989829,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
42,0.5,11.5,72.59137210005429,73.0915348000126,73.0915348000126,73.0915348000126,73.39211090002209,right,11.5,1,1,45.85476909996942,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
43,0.5,11.0,73.49147280002944,73.99094789999072,73.99094789999072,74.00817520008422,74.29032570007257,right,11.0,1,1,45.904083199915476,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
44,0.5,11.0,74.4398675999837,74.93991190008819,74.93991190008819,74.93991190008819,75.2398494000081,right,11.0,1,1,45.970037899911404,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
45,0.5,11.0,75.45557820005342,75.95656520000193,75.95656520000193,75.95656520000193,76.25548090005759,left,-11.0,1,1,46.05343249987345,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
46,0.5,10.5,76.55485469999257,77.05425510008354,77.05425510008354,77.05425510008354,77.35457020008471,right,10.5,1,1,45.97194279986434,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
47,0.5,10.5,77.57143780007027,78.07001660007518,78.07001660007518,78.07001660007518,78.370107499999,right,10.5,1,1,46.503731899894774,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
48,0.5,10.5,79.11956670007203,79.61853660002816,79.61853660002816,79.61853660002816,79.91859510005452,left,-10.5,1,1,45.9036312000826,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
49,0.5,10.0,80.06827150005847,80.56781720009167,80.56781720009167,80.5847528000595,80.86833319999278,left,-10.0,1,1,45.954824200016446,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
